sample.id,value,epitope.id,paper.name
PICI0002_A01_K01422KE01_SPB_A01,0.040881799,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.947011627,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.546558435,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.344423954,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01422KE01_SPB_A01,0.711325064,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.866215438,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,1.041707528,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.704853698,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00114EB01,0.666805448,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.602913273,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00542EB02,-0.438923779,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.789854719,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.115704668,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01422KE01_SPB_A01,1.089983855,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.233389302,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00114EB01,0.838552879,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,0.633076596,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,0.042552859,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,-0.129281232,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.643902487,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,0.361466992,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
