sample.id,value,epitope.id,paper.name
BK00533EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00533EB02,0.006527418,TBX21,CCR7+ CD11b+ CD27- B cells
BK00533EB02,0,KI67,CCR7+ CD11b+ CD27- B cells
BK01103EB02,0.019971361,TBX21,CCR7+ CD11b+ CD27- B cells
BK01103EB02,0.436635315,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01103EB02,2.365823317,DRA,CCR7+ CD11b+ CD27- B cells
BK01103EB02,0.221205613,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01103EB02,11.33623193,TNR5,CCR7+ CD11b+ CD27- B cells
BK01103EB02,0.024471954,KI67,CCR7+ CD11b+ CD27- B cells
BK01103EB02,0.487196473,ITAX,CCR7+ CD11b+ CD27- B cells
BK01103EB02,0.121433238,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01103EB02,0.464123414,CD38,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,0.007174497,KI67,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,4.253083002,TNR5,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,0.381532974,PDCD1,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,0.258244344,CD38,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,0,HAVR2,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,0.354134888,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,0.016326543,TBX21,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,0.048822615,CTLA4,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K00035KE01_SPB_A03,1.975588444,DRA,CCR7+ CD11b+ CD27- B cells
BK00033EB01,8.469072112,TNR5,CCR7+ CD11b+ CD27- B cells
BK00033EB01,0.008204567,TBX21,CCR7+ CD11b+ CD27- B cells
BK00033EB01,0.274703474,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00033EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
